Date,Xăng RON 95-V zone1_price,Xăng RON 95-V zone2_price,Xăng RON 95-III zone1_price,Xăng RON 95-III zone2_price,Xăng E5 RON 92-II zone1_price,Xăng E5 RON 92-II zone2_price,Xăng E10 RON 95-III zone1_price,Xăng E10 RON 95-III zone2_price,"DO 0,05S-II zone1_price","DO 0,05S-II zone2_price","DO 0,001S-V zone1_price","DO 0,001S-V zone2_price",Dầu hỏa 2-K zone1_price,Dầu hỏa 2-K zone2_price
2018-08-22,,,,,,,,,,,,,,
2018-09-06,,,,,,,,,,,,,,
2018-09-21,,,,,,,,,,,,,,
2018-10-06,,,,,,,,,,,,,,
2018-10-22,,,,,,,,,,,,,,
2018-11-06,,,,,,,,,,,,,,
2018-11-21,,,,,,,,,,,,,,
2018-12-06,,,,,,,,,,,,,,
2018-12-21,,,,,,,,,,,,,,
2019-01-01,,,,,,,,,,,,,,
2019-01-16,,,,,,,,,,,,,,
2019-01-31,,,,,,,,,,,,,,
2019-02-15,,,,,,,,,,,,,,
2019-03-02,,,,,,,,,,,,,,
2019-03-18,,,,,,,,,,,,,,
2019-04-02,,,,,,,,,,,,,,
2019-04-17,,,,,,,,,,,,,,
2019-05-02,,,,,,,,,,,,,,
2019-05-17,,,,,,,,,,,,,,
2019-06-01,,,,,,,,,,,,,,
2019-06-17,,,,,,,,,,,,,,
2019-07-02,,,,,,,,,,,,,,
2019-07-17,,,,,,,,,,,,,,
2019-08-01,,,,,,,,,,,,,,
2019-08-16,,,,,,,,,,,,,,
2019-08-31,,,,,,,,,,,,,,
2019-09-16,,,,,,,,,,,,,,
2019-10-01,,,,,,,,,,,,,,
2019-10-16,,,,,,,,,,,,,,
2019-10-31,,,,,,,,,,,,,,
2019-11-15,,,,,,,,,,,,,,
2019-11-30,,,,,,,,,,,,,,
2019-12-16,,,,,,,,,,,,,,
2019-12-31,,,,,,,,,,,,,,
2020-01-15,,,,,,,,,,,,,,
2020-01-30,,,,,,,,,,,,,,
2020-02-14,,,,,,,,,,,,,,
2020-02-29,,,,,,,,,,,,,,
2020-03-15,,,,,,,,,,,,,,
2020-03-29,,,,,,,,,,,,,,
2020-04-13,,,,,,,,,,,,,,
2020-04-28,,,,,,,,,,,,,,
2020-05-13,,,,,,,,,,,,,,
2020-05-28,,,,,,,,,,,,,,
2020-06-12,,,,,,,,,,,,,,
2020-06-27,,,,,,,,,,,,,,
2020-07-13,,,,,,,,,,,,,,
2020-07-28,,,,,,,,,,,,,,
2020-08-12,,,,,,,,,,,,,,
2020-08-27,,,,,,,,,,,,,,
2020-09-11,,,,,,,,,,,,,,
2020-09-26,,,,,,,,,,,,,,
2020-10-12,,,,,,,,,,,,,,
2020-10-27,,,,,,,,,,,,,,
2020-11-11,,,,,,,,,,,,,,
2020-11-26,,,,,,,,,,,,,,
2020-12-11,,,,,,,,,,,,,,
2020-12-26,,,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,,,
2021-02-10,,,,,,,,,,,,,,
2021-02-25,,,,,,,,,,,,,,
2021-03-12,,,,,,,,,,,,,,
2021-03-27,,,,,,,,,,,,,,
2021-04-12,,,,,,,,,,,,,,
2021-04-27,,,,,,,,,,,,,,
2021-05-12,,,,,,,,,,,,,,
2021-05-27,,,,,,,,,,,,,,
2021-06-11,,,,,,,,,,,,,,
2021-06-26,,,,,,,,,,,,,,
2021-07-12,,,,,,,,,,,,,,
2021-07-27,,,,,,,,,,,,,,
2021-08-11,,,,,,,,,,,,,,
2021-08-26,,,,,,,,,,,,,,
2021-09-10,,,,,,,,,,,,,,
2021-09-25,,,,,,,,,,,,,,
2021-10-11,,,,,,,,,,,,,,
2021-10-26,,,,,,,,,,,,,,
2021-11-10,,,,,,,,,,,,,,
2021-11-25,,,,,,,,,,,,,,
2021-12-10,,,,,,,,,,,,,,
2021-12-25,,,,,,,,,,,,,,
2022-01-11,,,,,,,,,,,,,,
2022-01-21,,,,,,,,,,,,,,
2022-02-11,,,,,,,,,,,,,,
2022-02-21,,,,,,,,,,,,,,
2022-03-01,,,,,,,,,,,,,,
2022-03-11,,,,,,,,,,,,,,
2022-03-21,,,,,,,,,,,,,,
2022-04-01,,,,,,,,,,,,,,
2022-04-12,,,,,,,,,,,,,,
2022-04-21,,,,,,,,,,,,,,
2022-05-04,,,,,,,,,,,,,,
2022-05-11,,,,,,,,,,,,,,
2022-05-23,,,,,,,,,,,,,,
2022-06-01,,,,,,,,,,,,,,
2022-06-13,,,,,,,,,,,,,,
2022-06-21,,,,,,,,,,,,,,
2022-07-01,,,,,,,,,,,,,,
2022-07-11,,,,,,,,,,,,,,
2022-07-21,,,,,,,,,,,,,,
2022-08-01,,,,,,,,,,,,,,
2022-08-11,,,,,,,,,,,,,,
2022-08-22,,,,,,,,,,,,,,
2022-09-05,,,,,,,,,,,,,,
2022-09-12,,,,,,,,,,,,,,
2022-09-21,,,,,,,,,,,,,,
2022-10-03,,,,,,,,,,,,,,
2022-10-11,,,,,,,,,,,,,,
2022-10-21,,,,,,,,,,,,,,
2022-11-01,,,,,,,,,,,,,,
2022-11-11,,,,,,,,,,,,,,
2022-11-21,,,,,,,,,,,,,,
2022-12-01,23830.0,24300.0,22700.0,23150.0,21670.0,22100.0,,,23210.0,23670.0,25190.0,25690.0,23560.0,24030.0
2022-12-12,22330.0,22770.0,21200.0,21620.0,20340.0,20740.0,,,21670.0,22100.0,23650.0,24120.0,21900.0,22330.0
2022-12-21,21830.0,22770.0,20700.0,21620.0,19970.0,20740.0,,,21600.0,22100.0,23580.0,24120.0,21830.0,22330.0
2023-01-01,22930.0,23380.0,21800.0,22230.0,21020.0,21440.0,,,22150.0,22590.0,24130.0,24610.0,22160.0,22600.0
2023-01-03,23280.0,23740.0,22150.0,22590.0,21350.0,21770.0,,,22150.0,22590.0,24130.0,24610.0,22760.0,23210.0
2023-01-11,23010.0,23470.0,22150.0,22590.0,21350.0,21770.0,,,21630.0,22060.0,23390.0,23850.0,21800.0,22230.0
2023-01-30,24000.0,24480.0,23140.0,23600.0,22320.0,22760.0,,,22520.0,22970.0,24280.0,24760.0,22570.0,23020.0
2023-02-13,24670.0,25160.0,23760.0,24230.0,22860.0,23310.0,,,21560.0,21990.0,22600.0,23050.0,21590.0,22020.0
2023-02-21,24350.0,24830.0,23440.0,23900.0,22540.0,22990.0,,,20800.0,21210.0,21840.0,22270.0,20840.0,21250.0
2023-03-01,24230.0,24710.0,23320.0,23780.0,22420.0,22860.0,,,20250.0,20650.0,21290.0,21710.0,20470.0,20870.0
2023-03-13,24740.0,25230.0,23810.0,24280.0,22800.0,23250.0,,,20500.0,20910.0,21760.0,22190.0,20710.0,21120.0
2023-03-21,23960.0,24430.0,23030.0,23490.0,22020.0,22460.0,,,19300.0,19680.0,20560.0,20970.0,19460.0,19840.0
2023-04-03,24050.0,24530.0,23120.0,23580.0,22080.0,22520.0,,,19430.0,19810.0,20690.0,21100.0,19030.0,19410.0
2023-04-11,25140.0,25640.0,24240.0,24720.0,23170.0,23630.0,,,20140.0,20540.0,21570.0,22000.0,19730.0,20120.0
2023-04-21,24530.0,25020.0,23630.0,24100.0,22680.0,23130.0,,,19390.0,19770.0,20820.0,21230.0,19480.0,19860.0
2023-05-04,23220.0,23680.0,22320.0,22760.0,21430.0,21850.0,,,18250.0,18610.0,19680.0,20070.0,18520.0,18890.0
2023-05-11,21780.0,22210.0,21000.0,21420.0,20130.0,20530.0,,,17650.0,18000.0,18510.0,18880.0,17970.0,18320.0
2023-05-22,22270.0,22710.0,21490.0,21910.0,20480.0,20880.0,,,17950.0,18300.0,18810.0,19180.0,17960.0,18310.0
2023-06-01,22790.0,23240.0,22010.0,22450.0,20870.0,21280.0,,,17940.0,18290.0,18800.0,19170.0,17770.0,18120.0
2023-06-12,22890.0,23340.0,22010.0,22450.0,20870.0,21280.0,,,18020.0,18380.0,18700.0,19070.0,17820.0,18170.0
2023-06-21,22890.0,23340.0,22010.0,22450.0,20870.0,21280.0,,,18170.0,18530.0,18850.0,19220.0,17950.0,18300.0
2023-07-03,22300.0,22740.0,21420.0,21840.0,20470.0,20870.0,,,18160.0,18520.0,18840.0,19210.0,17920.0,18270.0
2023-07-11,22090.0,22530.0,21490.0,21910.0,20410.0,20810.0,,,18610.0,18980.0,19400.0,19780.0,18320.0,18680.0
2023-07-21,23390.0,23850.0,22790.0,23240.0,21630.0,22060.0,,,19500.0,19890.0,20290.0,20690.0,19180.0,19560.0
2023-08-01,24560.0,25050.0,23960.0,24430.0,22790.0,23240.0,,,20610.0,21020.0,21800.0,22230.0,20270.0,20670.0
2023-08-11,24420.0,24900.0,23990.0,24460.0,22820.0,23270.0,,,22420.0,22860.0,22950.0,23400.0,21880.0,22310.0
2023-08-21,25030.0,25530.0,24600.0,25090.0,23330.0,23790.0,,,22350.0,22790.0,22880.0,23330.0,22300.0,22740.0
2023-09-05,25300.0,25800.0,24870.0,25360.0,23470.0,23930.0,,,22640.0,23090.0,23170.0,23630.0,22810.0,23260.0
2023-09-11,25400.0,25900.0,24870.0,25360.0,23470.0,23930.0,,,23050.0,23510.0,23910.0,24380.0,23180.0,23640.0
2023-09-21,26270.0,26790.0,25740.0,26250.0,24190.0,24670.0,,,23590.0,24060.0,24450.0,24930.0,23810.0,24280.0
2023-10-02,25370.0,25870.0,24840.0,25330.0,23500.0,23970.0,,,23590.0,24060.0,24450.0,24930.0,23810.0,24280.0
2023-10-11,23680.0,24150.0,23040.0,23500.0,21900.0,22330.0,,,22410.0,22850.0,23470.0,23930.0,22460.0,22900.0
2023-11-01,24560.0,25050.0,23920.0,24390.0,22610.0,23060.0,,,21940.0,22370.0,23000.0,23460.0,22300.0,22740.0
2023-11-13,24220.0,24700.0,23530.0,24000.0,22270.0,22710.0,,,20880.0,21290.0,22280.0,22720.0,21510.0,21940.0
2023-11-23,23710.0,24180.0,23020.0,23480.0,21690.0,22120.0,,,20280.0,20680.0,21680.0,22110.0,20940.0,21350.0
2023-11-30,23680.0,24150.0,22990.0,23440.0,21790.0,22220.0,,,20190.0,20590.0,21590.0,22020.0,21110.0,21530.0
2023-12-07,23010.0,23470.0,22320.0,22760.0,21290.0,21710.0,,,19720.0,20110.0,21120.0,21540.0,20920.0,21330.0
2023-12-14,21960.0,22390.0,21400.0,21820.0,20510.0,20920.0,,,19010.0,19390.0,19990.0,20380.0,19960.0,20350.0
2023-12-21,22700.0,23150.0,22140.0,22580.0,21190.0,21610.0,,,19520.0,19910.0,20500.0,20910.0,20490.0,20890.0
2023-12-28,22700.0,23150.0,22140.0,22580.0,21180.0,21600.0,,,19780.0,20170.0,20760.0,21170.0,20450.0,20850.0
2024-01-04,22470.0,22910.0,21910.0,22340.0,21000.0,21420.0,,,19360.0,19740.0,20340.0,20740.0,19950.0,20340.0
2024-01-11,22720.0,23170.0,21930.0,22360.0,21040.0,21460.0,,,19700.0,20090.0,20680.0,21090.0,20330.0,20730.0
2024-01-18,23270.0,23730.0,22480.0,22920.0,21410.0,21830.0,,,20190.0,20590.0,21170.0,21590.0,20530.0,20940.0
2024-01-25,24190.0,24670.0,23400.0,23860.0,22170.0,22610.0,,,20370.0,20770.0,21350.0,21770.0,20540.0,20950.0
2024-02-01,24950.0,25440.0,24160.0,24640.0,22910.0,23360.0,,,20990.0,21400.0,21970.0,22400.0,20920.0,21330.0
2024-02-08,24050.0,24530.0,23260.0,23720.0,22120.0,22560.0,,,20700.0,21110.0,21680.0,22110.0,20580.0,20990.0
2024-02-15,24420.0,24900.0,23910.0,24380.0,22830.0,23280.0,,,21360.0,21780.0,22350.0,22790.0,21220.0,21640.0
2024-02-22,24100.0,24580.0,23590.0,24060.0,22470.0,22910.0,,,20910.0,21320.0,21900.0,22330.0,20920.0,21330.0
2024-02-29,24430.0,24910.0,23920.0,24390.0,22750.0,23200.0,,,20770.0,21180.0,21760.0,22190.0,20780.0,21190.0
2024-03-07,24060.0,24540.0,23550.0,24020.0,22510.0,22960.0,,,20470.0,20870.0,21460.0,21880.0,20600.0,21010.0
2024-03-14,23950.0,24420.0,23540.0,24010.0,22490.0,22930.0,,,20540.0,20950.0,21170.0,21590.0,20700.0,21110.0
2024-03-21,24690.0,25180.0,24280.0,24760.0,23210.0,23670.0,,,21010.0,21430.0,21640.0,22070.0,21260.0,21680.0
2024-03-28,25220.0,25720.0,24810.0,25300.0,23620.0,24090.0,,,20690.0,21100.0,21320.0,21740.0,20870.0,21280.0
2024-04-04,25210.0,25710.0,24800.0,25290.0,23910.0,24380.0,,,20980.0,21390.0,21610.0,22040.0,21010.0,21430.0
2024-04-11,25350.0,25850.0,24820.0,25310.0,23840.0,24310.0,,,21610.0,22040.0,22220.0,22660.0,21590.0,22020.0
2024-04-17,25760.0,26270.0,25230.0,25730.0,24220.0,24700.0,,,21440.0,21860.0,22050.0,22490.0,21410.0,21830.0
2024-04-25,25440.0,25940.0,24910.0,25400.0,23910.0,24380.0,,,20710.0,21120.0,21320.0,21740.0,20680.0,21090.0
2024-05-02,25480.0,25980.0,24950.0,25440.0,23910.0,24380.0,,,20600.0,21010.0,21210.0,21630.0,20540.0,20950.0
2024-05-09,24070.0,24550.0,23540.0,24010.0,22620.0,23070.0,,,19840.0,20230.0,20450.0,20850.0,19700.0,20090.0
